exchange,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6
Binance,387660.0871637393,431531.6231298351,479066.1358341158,470932.16294319584,451130.3468623238,450000.82373040216
Coinbase Exchange,31487.42509582697,36340.738455537874,40441.517576659935,42733.063504342215,41952.17119644722,41791.84960683648
OKX,35440.68266877143,38653.059803390126,41294.71091252937,40744.65737924477,40224.13461169626,39631.10555332864
KuCoin,16864.039284057642,18073.47358115562,19590.085927686585,19315.571312973407,18856.193761796883,18837.10329422861
Bybit,14339.869149727034,15427.160038267357,16429.979983440022,16030.495632579912,15479.217556776895,15538.014312798194
Huobi,14706.058008827438,15078.219322912366,15203.61993107835,15001.148011949705,14843.332610836953,14891.06449003679
Binance US,9960.891636188804,11019.935321328392,12515.747958873544,11875.4838756784,10655.454192024055,10506.69718627727
Bitfinex,1647.5129166201675,2006.2364329211343,2475.7288601739224,2417.965871097443,2350.8591734173388,2419.554364281449
MEXC Global,22356.35587144465,24140.063939916305,26508.755381791667,25867.459490968224,24056.83379998857,23444.933856650565
Kraken,13196.358390159585,19176.15213675224,23276.87097801124,25308.737990950787,27105.844268517965,28100.747202204035
Bitget,17366.259765081453,17112.583333730676,16902.851245809186,16982.315128002057,17112.69603527531,17434.656904747953
Crypto.com Exchange,9838.77574643487,10860.813939086374,12063.747536603005,11526.837184367483,10622.533950137222,10805.360085082337
Phemex,3915.1671527424337,4219.756607114224,4464.790682363992,4431.74675113417,4311.879424806716,4246.449499136451
Gemini,381.9206440281916,455.5118863047087,584.1036405546439,592.2385628387372,626.5352003051258,637.3019254037328
BitMart,19098.03211799357,22549.456758901622,25669.725348853684,25450.262221841247,24993.98617878872,24971.93101965335
Upbit,36891.97024949176,38012.03997745668,39269.00992788205,38628.42310630777,35777.017388590306,40472.11046447259
XT.COM,27203.20767950073,27273.13756630304,27795.916112890325,26603.30091490109,25417.011592513056,24634.545567242807
BKEX,23167.827824144708,24312.442209789024,25806.588152751938,24768.535070039376,23859.410125769984,23703.007191349898
Gate.io,22897.386886889173,17400.89358105462,25069.57386720093,23998.32023878104,22746.17498951807,22847.40178703733
BTCEX,13066.128936179754,14444.607448634555,15862.544962073793,15573.704916490551,15189.0440364174,15308.332213141706
BingX,13881.555431937042,14015.110726010796,14931.527894104447,14289.868787685977,14238.142313066106,14594.763039199805
WhiteBIT,9889.250670321891,10277.8952948071,10554.095709146126,9936.914002558697,9488.85775057743,9157.578807539565
Bitstamp,5971.886779672739,6942.247252451835,7562.131746771269,7525.320529880865,7314.082548060222,7160.290782747949
Hotbit,4926.489059643786,5181.164653820119,5432.763779147583,5324.483766347044,5173.7214376159,5136.230971325641
EXMO,3761.7789554793744,3767.109600026491,3777.496546483428,3775.589283778032,3761.253934779928,3761.0383915317216
BtcTurk PRO,3055.4631523702938,3442.1327615082773,3767.118431398689,3800.56164890475,3828.549393576084,3692.6967458446175
LATOKEN,2782.6732726525465,3096.713916234956,3378.7928442964626,3349.5667839987013,3234.556642436464,3341.3116135877663
Bitso,554.7336845368536,1023.0125139573144,1370.4123858189284,1398.260655042668,1349.8439503261004,1301.947298729326
Bitkub,948.523210656334,1026.213279792332,1058.7873593517004,1030.7185899188612,973.1865674910896,948.1196532050982
CoinEx,956.0391445061148,917.2877820574118,906.998505317605,780.5514606213322,712.275002289353,718.9587610396944
WOO X,1051.6524704494652,1209.0895956842437,1319.4739181129878,1251.9477659354773,1260.009506007291,1257.4316455673566
Bitbank,548.7230739011203,576.5028434796081,588.2554794306349,548.7804601396002,518.1726784201719,506.2086558759206
Max Maicoin,385.54848929475867,427.571952170393,454.3799371435428,474.1847661590869,479.3271161058278,469.43827676546175
Bittrex,235.8085530333244,304.6169521480544,342.2141883376797,350.53532153893804,359.70191836408844,357.75050428774654
Indodax,303.4102383414186,290.4850488614697,277.4333532023416,256.7652470046595,230.3309550737458,229.2146038682069
BitMEX,17.05455069478222,22.59142946553383,31.278091233552544,32.98297180707896,40.81127323756397,49.91657641991837
Kuna Exchange,36.63106099375563,38.50743338388421,38.71875349118591,35.99538762328922,34.44719923524331,33.31742361197167
Coins.ph,34.14511019585698,33.60527715733489,36.74302430038971,34.67324513017676,30.082071637326177,32.90825423292531
LBank,36317.848769455006,35491.1217976049,35824.223326023755,35495.10366460737,34797.41825386911,36257.32184488255
Coinsbit,18870.242041376176,21970.557862166384,24710.576553244075,24397.294358102296,23488.53994656657,23068.790113105304
Bitrue,38628.6849616139,42197.4443837912,44727.019623207394,44117.650833631145,43272.99116562872,43142.94267446506
DigiFinex,17367.521382211427,18463.17923818885,19433.951408784564,19269.562845983262,18899.92831088751,18606.955007474728
Bithumb,8393.565646471468,8578.06270207332,8283.831400803652,8193.599809539288,8044.381691275415,8471.159836010886
Tidex,26186.45178681013,30258.95473043132,33793.85883681781,32789.27364707954,31536.66373529589,31377.63993063601
Poloniex,4422.874622768243,4374.048337965507,4479.441857330502,4463.154658013019,4417.182354018886,4728.389359355114
Dex-Trade,4184.616000476155,4665.396801807355,5117.867873896083,5045.879360049188,4883.550274156435,4855.9966182528215
Paribu,3138.579243939119,3215.2523875557818,3193.2686989155154,3092.801878613118,3058.9820908828574,2908.627946469449
bitFlyer,1371.52274611622,1517.8860419300595,1604.7008496396566,1395.2119882105849,1185.2790527904674,1083.9900037042105
Kanga,386.8762317139742,421.8050728979513,430.2227613618798,418.6595646013091,420.007273241404,419.7233585914283
FinexBox,400.62759272819767,399.2086523496917,398.0977915516734,398.58442935018064,400.8749020412515,400.4645652153265
Luno,255.0001295496763,294.1498327728002,311.0221594132832,304.374679629975,295.0710645058655,296.520103164045
Okcoin,137.785979634848,167.23289421222668,177.13333625792288,176.41686332759454,212.1165358225262,200.15627802846143
Korbit,108.67982704792422,114.0645239504276,118.87646466515558,116.4451730348743,110.48043817242784,115.02956725358108
Blockchain.com,40.45789754284278,60.396681037994746,64.44638065353145,69.85116725515071,72.604482453285,75.11727063079665
Coinmetro,24.07119509956116,28.66875402127322,30.392526386455803,27.714766384914608,26.926475787989173,25.815597866194675
NiceHash,7.308838931903367,7.428704670442759,7.052148551050095,7.844005432115696,8.468417048743085,7.199483350745425
P2B,31155.932980379457,35299.56367580093,39753.06676096245,39217.81404158386,37732.32792779248,37493.17895584446
Deepcoin,19839.59644914661,19758.042511583542,19826.23155648256,19809.851579552607,19780.80313036032,19827.18526564196
BigONE,5646.514421143496,6218.533175540353,6759.50535854209,6613.124053921609,6389.478444559102,6382.85709398843
Uniswap (Arbitrum One),5585.11570588913,6326.114854697892,6899.803044577308,6037.007641928656,5304.667487415568,5139.341651460111
PancakeSwap (v2),3854.006659613384,3987.055131723264,4141.338949796721,4190.308339994789,4312.400517253667,4522.846418919701
Uniswap (v2),2571.974876976068,2602.9636166682653,2916.872219590912,2823.8765978163187,3357.6894493709697,3901.811672798923
Coinstore,5903.489927987543,6064.507635512974,6266.523587165536,6361.760452250705,6494.365319436082,6594.457409136029
Pionex,73618.57607447945,72864.9465311708,72746.48049169003,70899.01622048527,43255.30609702818,7044.325587181508
BIT,2588.047678926392,2794.8960312565337,2995.751730633108,2954.2288574512804,2922.009106463076,2920.6400998785502
Uniswap (Polygon),1991.853224861433,2120.983977982105,2194.289549806694,1918.4625366418247,1769.1997096974628,1858.213570273748
Trader Joe v2,949.3304156768982,1326.8096715484803,1550.43298654535,1721.3761322009198,1682.9353216614418,1610.103801153676
Cryptology,1410.5427925069189,1528.8077004365896,1614.2213768337042,1590.4881552271745,1570.526899384514,1574.103604699064
Bitvavo,1417.0398218950293,1449.3330093296026,1477.7638825058832,1520.2061332081485,1564.7167177241724,1548.9454691334597
FMFW.io,12645.155787583455,14038.698542651677,15058.155245620548,14668.461458809908,13349.076043558727,13156.621077127713
Uniswap (Optimism),1283.737417949937,1369.3220281707136,1399.308788577262,1273.811506399885,1168.3597910605797,1177.555834277943
AscendEX (BitMax),10933.073879783762,11013.79219402644,11073.406203447246,11109.692797039244,11140.779363808731,11119.727862412108
BTSE,34290.552164384426,35344.54584628405,37452.34704205722,36783.82588230716,35620.28120252553,35081.94270153058
BitBNS,755.585829451697,769.5083625609647,750.2316203797417,718.431191495918,688.7918704901413,697.5173009294103
ApeX Pro,588.9920334888959,649.0994316408248,753.4638678958839,673.3715497669002,572.2315726283463,591.2616769348352
Canto Dex,476.94709966054273,525.5700350706808,546.6807933275047,568.1801297455813,574.0927578010898,571.4467010361469
Sushiswap (Arbitrum One),404.0901081421392,440.6092604325113,496.8972762312128,508.8353285027926,538.017517366713,514.6490401884276
Velodrome Finance,996.9526081130592,1013.8696988766784,1015.3229994364737,964.1457453377968,950.1548349580256,944.6974064322484
Pancakeswap (Stableswap),602.360286313822,630.7111727617006,643.9748150966295,665.8487368428545,574.1390526564552,476.9008818926719
Kyberswap Elastic (Arbitrum),401.1334927260751,421.1137451276395,475.306321139154,437.41200834133,434.24152403297467,459.12594567508864
Independent Reserve,1283.1277155916107,1270.5915594065634,1258.315142020849,1255.6353885145056,1070.483777076406,1094.8321196860022
Thena,335.0388619960852,371.049369728536,373.1437085396019,436.6808670990743,472.9492029599744,483.8025809837016
Orca,490.581327554509,481.8703558645807,467.5721991212104,453.85095711686336,464.72300948951306,448.26807974649137
VALR,236.6489409797128,330.7812416125682,357.0281973995998,358.3269151576217,387.3780960350536,486.3579157807111
BitoPro,270.258730969298,297.53095148505446,316.9015049141379,315.17580939095666,306.983911416228,307.35964919463817
Bitazza,305.4046474755378,307.08475709487544,303.6247601185608,300.3524776945254,301.87510596002306,306.84588803016953
Camelot,298.04227057836505,336.49224889895,371.5276628797372,368.4365574171031,371.88042461622985,322.91215529547344
GMO Japan,371.9862364606872,398.2957493698382,403.6480003793824,371.1544631774196,338.05937681876816,306.0514161582851
Osmosis,385.1377574220105,363.1167308256034,338.2361436383856,312.21751907104914,294.0300261342399,291.6879277315982
Kyberswap Elastic (Optimism),594.3663261382484,541.1273618177748,439.9485784357069,284.14078212332043,241.3773253926489,257.9867033492541
Nominex,483.9620672040798,547.503568420443,614.8258972040196,594.9639954076356,613.4199659895745,677.9445054403467
Trader Joe v2 (Arbitrum),133.49364732060957,162.87566375244035,195.8133341849773,203.74587518819945,222.54488247770064,227.2487884152596
Bitci TR,657.03981892124,659.0060488525534,656.1927209483487,655.9961145060723,653.493631974834,649.602651238972
Bitpanda Pro,62.21672496542698,103.85362624440316,138.77344606645178,146.9212330173489,143.84556072634945,158.0807714358319
BTCMarkets,188.3851643031745,168.97036217886227,168.4669702860863,146.00511971820129,176.9486904828956,140.36678390874127
Foxbit,8.87387756870868,30.1483722032166,54.884182214490544,66.28480152326948,76.1764449600775,77.21183492838092
CEX.IO,65.67961381865439,77.84313825946796,79.86912612180127,77.2984765389536,73.56392823760487,72.41686922808462
WazirX,60.67180331516023,67.29642399435234,70.47342438730963,70.483969418587,67.63959231661211,63.81193611786716
Zaif,17.77842982919714,17.15063575394316,18.09823042450728,18.513943878907455,18.15729797237104,18.95552622279673
Delta Exchange,20.280629497616413,22.292480198878454,23.58893975984273,21.929231602750395,19.978535453750975,19.10951711723077
